"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",5717.53820820378,18.110669015533,18.110669015533
"Dim.2",4051.47206421961,12.8332976376928,30.9439666532258
"Dim.3",2912.45791385219,9.22539725642127,40.1693639096471
"Dim.4",2386.36662521391,7.55896935449448,47.7283332641416
"Dim.5",1711.33718361064,5.42077029968526,53.1491035638268
"Dim.6",1647.15731948283,5.21747646336025,58.3665800271871
"Dim.7",1540.96993124301,4.8811210999145,63.2477011271016
"Dim.8",1411.80951016319,4.47199718138484,67.7196983084864
"Dim.9",1266.0964869483,4.01044183385588,71.7301401423423
"Dim.10",1154.86301558067,3.65810267843103,75.3882428207733
"Dim.11",1071.05463987519,3.39263427264869,78.780877093422
"Dim.12",1018.92481638258,3.22750971296352,82.0083868063855
"Dim.13",981.276359641351,3.10825581134416,85.1166426177297
"Dim.14",895.143087326905,2.83542314642669,87.9520657641564
"Dim.15",821.640836405587,2.60260005196575,90.5546658161222
"Dim.16",807.570369886125,2.55803094674098,93.1126967628631
"Dim.17",760.187983799198,2.407944199554,95.5206409624171
"Dim.18",739.030597652228,2.34092682183158,97.8615677842487
"Dim.19",675.103050512685,2.1384322157513,100
