"","group","lib.size","norm.factors","normalized.lib.size"
"SRR975569","normal_colon",61889001,1.06435026897925,65871574.861207
"SRR975572","normal_colon",54387688,1.06717337880671,58041092.768445
"SRR975574","normal_colon",55831806,0.989480357069446,55244475.336712
"SRR975575","normal_colon",62406982,1.024325101203,63925038.152924
"SRR975576","normal_colon",53817317,1.0179051692518,54780925.1695627
"SRR975577","normal_colon",53552959,0.990139379160909,53024893.5764896
"SRR975580","normal_colon",54550950,0.980675904624265,53496802.239363
"SRR975582","normal_colon",55338658,1.0132389051291,56071281.2432337
"SRR975585","normal_colon",61678695,1.00126573335036,61756763.7812683
"SRR975586","normal_colon",51281443,0.998361228616449,51197404.4387044
"SRR975587","metastasized_cancer",63759253,0.991625315689864,63225289.3842749
"SRR975588","metastasized_cancer",68421951,1.03373262466936,70730002.9922282
"SRR975589","metastasized_cancer",69915442,1.01830133635257,71194988.0202806
"SRR975591","metastasized_cancer",63174469,0.994929760868483,62854159.3351634
"SRR975593","metastasized_cancer",71229881,1.08294531070683,77138065.6111555
"SRR975598","metastasized_cancer",52273607,1.02659159098418,53663645.3766117
"SRR975599","metastasized_cancer",26565409,0.995029920890393,26433376.8156909
"SRR975601","metastasized_cancer",57404155,0.917142932712272,52647815.0665698
"SRR975603","metastasized_cancer",77176944,0.950526796331268,73358753.3309577
"SRR975604","metastasized_cancer",75359052,0.866345362174387,65286965.1980585
